id,legacy_pid_tesim
b8515n55x,tufts:ct.secretary.1819
ff365544f,tufts:me.statesenate.kennebec.1824
5138jd99j,tufts:oh.auditor.fairfield.1822
k643b138p,tufts:me.elector.at_large.1820
d791sg38r,tufts:me.elector.cumberland.1824
2z10wq415,tufts:ny.assembly.genesee.1809
s1784k83n,tufts:pa.sheriff.beaver.1803
z890rt405,tufts:pa.director.montgomery.1810
dz010q24d,tufts:me.elector1.1820
vt150j44p,tufts:nc.statesenator.mecklenburg.1809
ns064616w,tufts:nc.statesenator.mecklenburg.1805
44558d527,tufts:nc.statesenator.mecklenburg.1810
fx719m63q,tufts:ct.nomination.assistants.1801
0v8380719,tufts:pa.inspector.philadelphiacity.north.1813
2801pg445,tufts:nc.houseofcommons.johnston.1811
hh63sw041,tufts:nc.houseofcommons.burke.1822
rv042t256,tufts:nc.houseofcommons.anson.1821
7d278t23w,tufts:sc.senate.clarendon.1814
qr46r098n,tufts:pa.inspector.philadelphiacity.locust.1810
6q182k34j,tufts:ny.assembly.greene.1811
3x816m825,tufts:ny.assembly.greene.1805
x059c749g,tufts:nc.houseofcommons.lincoln.1822
rr171x46q,tufts:nc.houseofcommons.nash.1796
1c18df92g,tufts:nc.statesenator.nash.1811
5h73pw21x,tufts:ma.uscongress.middle.2.1800
bv73c049j,tufts:ma.uscongress.worcesternorth.1806
br86b374n,tufts:nc.uscongress2.specialelection.1825
rv042t26g,tufts:pa.director.montgomery.1819
4b29b609q,tufts:sc.senate.special.orangeburgh.1811
h128nd85z,tufts:nc.uscongress8.1806
0k225b23w,tufts:nc.uscongress8.1795
2514nk74n,tufts:nc.uscongress4.1804
1544bp24s,tufts:nc.uscongress3.1798
j38607146,tufts:nc.uscongress3.1800
8623hx91x,tufts:pa.brigadeinspector.crawford.1807
qb98mf61z,tufts:me.uscongress6.third.1823
w6634379t,tufts:va.uscongress.9.1813
1g05fb83r,tufts:me.uscongress5.second.1826
fn106z04s,tufts:va.uscongress.13.1797
r207tp51m,tufts:pa.director.cumberland.1816
pr76f3556,tufts:pa.senator.montgomerycounty.1790
6682x417c,tufts:ny.assembly.kings.1790
3197xm18w,tufts:me.uscongress4firstrunoff.1820
7h149p94w,tufts:ny.assembly.columbia.1802
hm50tr883,tufts:pa.inspector.philadelphiacity.highstreet.1812
70795784j,tufts:pa.inspector.philadelphiacity.newmarket.1813
g732d917n,tufts:va.houseofdelegates.princeedward.1819
zs25x861g,tufts:ma.uscongress.worcestersouth.1806
6q182k37c,tufts:pa.inspector.dock.1818
x920fw98r,tufts:pa.inspector.chesnut.1806
ms35t877m,tufts:ms.statesenator1.1823
2v23vt56j,tufts:me.governor.1822
rx913q091,tufts:pa.inspector.philadelphiacity.dock.1808
ns064619q,tufts:pa.director.bucks.1813
cj82k751f,tufts:pa.director.bucks.1812
1g05fb87v,tufts:sc.statesecretary.ballot6.1822
vh53wv951,tufts:sc.senate.winton.1802
0r967395n,tufts:sc.senate.lexington.1820
kd17ct05q,tufts:pa.governor.1820
pg15bf082,tufts:va.constitutionalconvention.brunswick.1788
1v53jx16x,tufts:nc.statesenator.wake.1800
t435gd21r,tufts:pa.sheriff.mifflin.1803
t435gd221,tufts:pa.coroner.mercer.1821
3x816m87j,tufts:pa.sheriff.mercer.1821
m900nt56b,tufts:nc.statesenator.rockingham.1812
rr171x534,tufts:nc.statesenator.rockingham.1811
5138jf071,tufts:ct.governor.1792
05741r91s,tufts:ct.governor.1793
tm70mv380,tufts:ct.lgovernor.1793
rb68xc03x,tufts:ny.assembly.jefferson.1814
x059c755m,tufts:ma.uscongress.hampshiresouth.1808
6395w734s,tufts:pa.inspector.locust.1815
4j03cz81j,tufts:ny.assembly.kings.1821
gt54kn291,tufts:nc.houseofcommons.rockingham.1812
z029p494z,tufts:nc.publicprinter.1817
n296wz42b,tufts:nc.secretaryofstate4.1798
g732d9217,tufts:pa.coroner.yorkcounty.1799
g445cd33s,tufts:nc.statesenator.wilkes.1809
mw22v563h,tufts:oh.ussenate.ballot4.1821
8w32r5748,tufts:pa.commissioner.adams.1801
gh93gz711,tufts:pa.auditor.northumberland.1818
cj82k7548,tufts:pa.auditor.lebanon.1818
474299363,tufts:va.houseofdelegates.henrico.1823
79407x32b,tufts:nc.uscongress4.1815
cz30ps897,tufts:nc.uscongress5.1793
pv63g051b,tufts:nc.uscongress5.1795
xw42n814p,tufts:pa.inspector.southmulberry.1824
m326m198j,tufts:pa.inspector.upperdelaware.1823
41687h741,tufts:pa.inspector.walnut.1823
x346d454k,tufts:nc.uscongress1.1819
0r967401k,tufts:nc.uscongress5.1825
x346d4539,tufts:nc.uscongress3.1825
kd17ct09t,tufts:nc.statesenator.bertie.1824
2f75r829s,tufts:nc.statesenator.brunswick.1806
k3569463s,tufts:nc.uscongress11.1815
4q77fr64m,tufts:nc.uscongress12.1819
8w32r579n,tufts:pa.director.montogomery.1812
4m90dv65c,tufts:pa.sheriff.adams.1806
kp78gg63c,tufts:nc.uscongress12.1821
v118rd71c,tufts:pa.inspectors.cedarward.1822
h415p977h,tufts:nc.statesenator.edgecombe.1812
gt54kn312,tufts:nc.statesenator.edgecombe.1808
v118rd72n,tufts:nc.uscongress3.1804
8910jt90w,tufts:nc.uscongress3.1803
xd07gs902,tufts:ma.senateclerk.1819
x059c761r,tufts:ma.senatepresident.1816
5q47rn92f,tufts:nc.statesenator.wilkes.1819
w6634387h,tufts:ma.staterepresentative.weston.1798
dz010q34n,tufts:nc.uscongress10.1808
79407x355,tufts:nc.uscongress11.1808
th83kz608,tufts:ma.staterepresentative.salisbury.1809
zs25x866v,tufts:ma.staterepresentative.second.amherst.1808
jh343s495,tufts:ma.staterepresentative.weston.1.1823
3j333243n,tufts:ma.ltgovernor.1822
7w62f838r,tufts:nc.uscongress2.1793
9593tv344,tufts:nc.uscongress1.1793
zp38wc87c,tufts:ma.staterepresentative.brookline.1795
kp78gg64n,tufts:pa.statesenator18.1814
vq27zn695,tufts:ma.staterepresentative.watertown.second.1797
44558d659,tufts:nc.ussenator.1805
5m60qs215,tufts:oh.commissioner.ashtabula.1816
2b88qc39s,tufts:nc.statesenator.chatham.1806
ff365554p,tufts:nj.sheriff.essex.1802
m613mx82q,tufts:nc.uscongress1.1813
44558d66k,tufts:ma.uscongress.middlesex.1810
db78tc23n,tufts:nc.uscongress3.1790
bg257f32c,tufts:pa.coroner.northumberlandcounty.1789
8s45q910p,tufts:pa.assembly.bucks.1817
hh63sw15j,tufts:pa.assembly.bucks.1815
5712m6923,tufts:nc.uscongress2.1803
t148fh37d,tufts:nc.uscongress4.1817
6108vb52h,tufts:nc.uscongress4.1798
qr46r108p,tufts:nc.houseofcommons.person.1812
tq57nr35p,tufts:nc.houseofcommons.perquimans.1797
37720c97z,tufts:nc.statesenator.johnston.1805
6m311p651,tufts:ma.governor.1824
n296wz498,tufts:sc.uscongress.sumter.1812
5x21tf626,tufts:sc.uscongress.washington.1796
37720c987,tufts:sc.senate.charlestoncity.1808
1j92g7715,tufts:ma.housesclerk.1818
0r967404d,tufts:ma.housesclerk.1816
5712m694n,tufts:va.courtofappealsjudge.second.1811
zw12z549f,tufts:va.executivecouncil.first.1817
wm117p29p,tufts:pa.uscongress8.1810
6w924c14h,tufts:pa.coroner.somerset.1807
sb397852n,tufts:nc.houseofcommons.randolph.1824
7s75dc644,tufts:nc.houseofcommons.richmond.1812
h989r345z,tufts:pa.auditor.northampton.1821
cz30ps97x,tufts:pa.commissioner.adams.1807
ww72bb82z,tufts:pa.commissioner.adams.1812
5q47rn983,tufts:nc.statesenator.granville.1812
m039k518k,tufts:nc.statesenator.granville.1813
bn9996998,tufts:nc.statesenator.guilford.1817
0k225b35p,tufts:nh.uscongress.2.1796
bk128b192,tufts:nj.uscongress.southern.1798
6w924c162,tufts:pa.commissioner.dauphincounty.1797
7m01bm002,tufts:pa.assembly.philadelphiacounty.1819
pz50gw37k,tufts:pa.assembly.northumberland.1816
f1881m11v,tufts:pa.assembly.mifflin.1810
kw52j841t,tufts:ma.staterepresentative.weston.1793
w66343913,tufts:ma.staterepresentative.fitchburg.1809
73666474j,tufts:pa.assembly.huntingdon.1812
x346d4628,tufts:nh.register.strafford.1802
mk61rh20x,tufts:nh.register.strafford.1798
05741r98q,tufts:md.assembly.prince.georges.county.1824
0k225b39s,tufts:pa.assembly.northumberland.1817
02870w15x,tufts:pa.assembly.mercervenangocounties.1810
8w32r5837,tufts:pa.coroner.northumberland.1821
qj72p738n,tufts:pa.coroner.northumberland.1818
6t053g27c,tufts:pa.coroner.northumberlandcounty.1794
t722h914k,tufts:pa.commissioner.bedford.1807
c534fp21q,tufts:pa.commissioner.2year.chester.1809
n870zr18r,tufts:pa.commissioner.bedford.1818
cv43nx22t,tufts:nj.ussenate.1798
mk61rh22g,tufts:nj.sheriff.salem.1807
9880vr180,tufts:pa.assembly.bucks.1813
2f75r840s,tufts:pa.assembly.northumberland.1802
kp78gg68r,tufts:pa.assembly.franklin.1802
5t34sj82f,tufts:pa.assembly.montgomerycounty.1791
73666478n,tufts:ma.statelegislature.salem.1805
d504rk602,tufts:pa.commissioner.chester.1802
wd375w55t,tufts:pa.commissioner.chester.1805
9593tv387,tufts:ma.staterepresentative.fitchburg.3.1810
pz50gw415,tufts:pa.commissioner.centrecounty.1824
bv73c0623,tufts:ma.staterepresentative.nantucket.1822
wh246s40f,tufts:pa.us.senate2.1801
w9505075z,tufts:tn.assembly.smith.1813
qz20ss74c,tufts:tn.commons.1.1823
1j92g777t,tufts:pa.assembly.buckscounty.1822
x059c7664,tufts:pa.assembly.buckscounty.1824
08612n87f,tufts:pa.assembly.buckscounty.1790
pv63g064d,tufts:vt.uscongress.eastern.special.1797
6m311p715,tufts:pa.assembly.westmorelandcounty.1822
nc580m96k,tufts:pa.assembly.york.1801
bk128b299,tufts:md.assembly.washington.county.1811
0r967409s,tufts:pa.bankdirector.bankofphiladelphia.assembly.1808
3t945r00n,tufts:md.citycouncil.baltimore.firstbranch2.1817
d217qp75f,tufts:nj.sheriff.somerset.1824
pg15bf189,tufts:ny.specialelectioncongress9.1822
m900nt748,tufts:md.assembly.kent.county.1822
pv63g065p,tufts:ny.specialuscongress1.1799
nc580m97v,tufts:pa.commissioner.cumberland.1801
bv73c065x,tufts:pa.commissioner.crawford.1814
9306sz72b,tufts:pa.assembly.centre.1812
xp68kg502,tufts:md.mayor.baltimore10.1824
hm50ts048,tufts:md.mayor.baltimore12.1824
vm40xr84r,tufts:pa.auditor.northampton.1809
1r66j147v,tufts:ma.senator.essex.1813
sq87bt88v,tufts:pa.burgess.washington.boroughofwashington.1810
rf55z8035,tufts:md.citycouncil.baltimore.secondbranch11.1822
z316q193x,tufts:md.city.council.baltimore.city.8.1821
8s45q917m,tufts:md.citycouncil.baltimore.secondbranch7.1824
n009w255c,tufts:ma.staterepresentative.fitchburg.1807
8s45q918w,tufts:nj.uscongress.1814
9w032341q,tufts:nj.sheriff.morris.1799
t722h918p,tufts:oh.staterepresentative.fairfield.1807
jh343s673,tufts:oh.staterepresentative.warren.1807
rf55z786q,tufts:pa.inspector.philadelphiacity.cedar.1811
m326m1871,tufts:pa.inspector.cedar.1818
000000221,tufts:mo.assembly.howard.1822
3t945q85r,tufts:sc.assembly.st.pauls.1796
